  0   Air India (India)                 
  0   Air Nippon (Japan)                
  0   All Nippon (Japan)                
  1   Asiana (South Korea)              
  0   Cathay Pacific (Hong Kong)        
  1   Garuda (Indonesia)                
  5   Indian Airlines (India)           
  1   Japan Airlines (Japan)            
  0   Japan Air System (Japan)          
  1   Korean Air Lines (South Korea)    
  0   Malysia Air Lines (Malaysia)      
 10   Merpati (Indonesia)               
  0   Niu Guini (Papua New Guinea)      
  3   Philippine Air Lines (Philippines)
  3   PIA (Pakistan)                    
  0   SIA (Singapore)                   
  1   Thai Airways (Thailand)           
