    41   Mobile, Alabama               
    16   Juneau, Alaska                
    39   Phoenix, Arizona              
    30   Little Rock, Arkansas         
    42   San Francisco, California     
    16   Denver, Colorado              
    17   Hartford, Connecticut         
    23   Wilmington, Delaware          
    66   Key West, Florida             
    33   Atlanta, Georgia              
    65   Honolulu, Hawaii              
    23   Boise, Idaho                  
    14   Chicago, Illinois             
    18   Indianapolis, Indiana         
    10   Des Moines, Iowa              
    19   Wichita, Kansas               
    24   Louisville, Kentucky          
    43   New Orleans, Louisiana        
    12   Portland, Maine               
    24   Baltimore, Maryland           
    23   Boston, Massachusetts         
    16   Detroit, Michigan             
     2   Minn-St. Paul, Minnesota      
    35   Jackson, Mississippi          
    20   St. Louis, Missouri           
     8   Helena, Montana               
    10   Omaha, Nebraska               
    33   Las Vegas, Nevada             
     9   Concord, New Hampshire        
    23   Atlantic City, New Jersey     
    22   Albuquerque, New Mexico       
    26   New York, New York            
    29   Raleigh, North Carolina       
    -4   Bismarck, North Dakota        
    19   Cleveland, Ohio               
    25   Oklahoma City, Oklahoma       
    34   Portland, Oregon              
    24   Philadelphia, Pennsylvania    
    25   Block Island, Rhode Island    
    37   Charleston, South Carolina    
     9   Rapid City, South Dakota      
    28   Nashville, Tennessee          
    22   Amarillo, Texas               
    20   Salt Lake City, Utah          
     8   Burlington, Vermont           
    32   Norfolk, Virginia             
    20   Spokane, Washington           
    25   Huntington, West Virginia     
     7   Madison, Wisconsin            
    15   Cheyenne, Wyoming             
