median house value,median income,housing median age,total rooms,total bedrooms,population,households,latitude,longitude
4.53E+05,8.33E+00,4.10E+01,8.80E+02,1.29E+02,3.22E+02,1.26E+02,3.7880000000000003e+001 -1.2223000000000000e+002,
3.59E+05,8.30E+00,2.10E+01,7.10E+03,1.11E+03,2.40E+03,1.14E+03,3.7859999999999999e+001 -1.2222000000000000e+002,
3.52E+05,7.26E+00,5.20E+01,1.47E+03,1.90E+02,4.96E+02,1.77E+02,3.7850000000000001e+001 -1.2223999999999999e+002,
3.41E+05,5.64E+00,5.20E+01,1.27E+03,2.35E+02,5.58E+02,2.19E+02,3.7850000000000001e+001 -1.2225000000000000e+002,
3.42E+05,3.85E+00,5.20E+01,1.63E+03,2.80E+02,5.65E+02,2.59E+02,3.7850000000000001e+001 -1.2225000000000000e+002,
2.70E+05,4.04E+00,5.20E+01,9.19E+02,2.13E+02,4.13E+02,1.93E+02,3.7850000000000001e+001 -1.2225000000000000e+002,
2.99E+05,3.66E+00,5.20E+01,2.54E+03,4.89E+02,1.09E+03,5.14E+02,3.7840000000000003e+001 -1.2225000000000000e+002,
2.41E+05,3.12E+00,5.20E+01,3.10E+03,6.87E+02,1.16E+03,6.47E+02,3.7840000000000003e+001 -1.2225000000000000e+002,
2.27E+05,2.08E+00,4.20E+01,2.56E+03,6.65E+02,1.21E+03,5.95E+02,3.7840000000000003e+001 -1.2226000000000001e+002,
2.61E+05,3.69E+00,5.20E+01,3.55E+03,7.07E+02,1.55E+03,7.14E+02,3.7840000000000003e+001 -1.2225000000000000e+002,
2.82E+05,3.20E+00,5.20E+01,2.20E+03,4.34E+02,9.10E+02,4.02E+02,3.7850000000000001e+001 -1.2226000000000001e+002,
2.42E+05,3.27E+00,5.20E+01,3.50E+03,7.52E+02,1.50E+03,7.34E+02,3.7850000000000001e+001 -1.2226000000000001e+002,
2.14E+05,3.08E+00,5.20E+01,2.49E+03,4.74E+02,1.10E+03,4.68E+02,3.7850000000000001e+001 -1.2226000000000001e+002,
1.91E+05,2.67E+00,5.20E+01,6.96E+02,1.91E+02,3.45E+02,1.74E+02,3.7840000000000003e+001 -1.2226000000000001e+002,
1.59E+05,1.92E+00,5.20E+01,2.64E+03,6.26E+02,1.21E+03,6.20E+02,3.7850000000000001e+001 -1.2226000000000001e+002,
1.40E+05,2.13E+00,5.00E+01,1.12E+03,2.83E+02,6.97E+02,2.64E+02,3.7850000000000001e+001 -1.2226000000000001e+002,
1.53E+05,2.77E+00,5.20E+01,1.97E+03,3.47E+02,7.93E+02,3.31E+02,3.7850000000000001e+001 -1.2227000000000000e+002,
1.56E+05,2.12E+00,5.20E+01,1.23E+03,2.93E+02,6.48E+02,3.03E+02,3.7850000000000001e+001 -1.2227000000000000e+002,
1.59E+05,1.99E+00,5.00E+01,2.24E+03,4.55E+02,9.90E+02,4.19E+02,3.7840000000000003e+001 -1.2226000000000001e+002,
1.63E+05,2.60E+00,5.20E+01,1.50E+03,2.98E+02,6.90E+02,2.75E+02,3.7840000000000003e+001 -1.2227000000000000e+002,
1.48E+05,1.36E+00,4.00E+01,7.51E+02,1.84E+02,4.09E+02,1.66E+02,3.7850000000000001e+001 -1.2227000000000000e+002,
1.60E+05,1.71E+00,4.20E+01,1.64E+03,3.67E+02,9.29E+02,3.66E+02,3.7850000000000001e+001 -1.2227000000000000e+002,
1.14E+05,1.73E+00,5.20E+01,2.44E+03,5.41E+02,1.02E+03,4.78E+02,3.7840000000000003e+001 -1.2227000000000000e+002,
9.97E+04,2.18E+00,5.20E+01,1.69E+03,3.37E+02,8.53E+02,3.25E+02,3.7840000000000003e+001 -1.2227000000000000e+002,
1.33E+05,2.60E+00,5.20E+01,2.22E+03,4.37E+02,1.01E+03,4.22E+02,3.7840000000000003e+001 -1.2227000000000000e+002,
1.08E+05,2.40E+00,4.10E+01,5.35E+02,1.23E+02,3.17E+02,1.19E+02,3.7850000000000001e+001 -1.2228000000000000e+002,
9.38E+04,2.46E+00,4.90E+01,1.13E+03,2.44E+02,6.07E+02,2.39E+02,3.7850000000000001e+001 -1.2228000000000000e+002,
1.06E+05,1.81E+00,5.20E+01,1.90E+03,4.21E+02,1.10E+03,3.97E+02,3.7850000000000001e+001 -1.2228000000000000e+002,
1.09E+05,1.64E+00,5.00E+01,2.08E+03,4.92E+02,1.13E+03,4.73E+02,3.7840000000000003e+001 -1.2228000000000000e+002,
1.32E+05,1.69E+00,5.20E+01,7.29E+02,1.60E+02,3.95E+02,1.55E+02,3.7840000000000003e+001 -1.2228000000000000e+002,
1.22E+05,1.93E+00,4.90E+01,1.92E+03,4.47E+02,8.63E+02,3.78E+02,3.7840000000000003e+001 -1.2228000000000000e+002,
1.15E+05,1.96E+00,5.20E+01,2.15E+03,4.81E+02,1.17E+03,4.41E+02,3.7840000000000003e+001 -1.2228000000000000e+002,
1.10E+05,1.80E+00,4.80E+01,1.92E+03,4.09E+02,1.03E+03,3.35E+02,3.7840000000000003e+001 -1.2227000000000000e+002,
1.05E+05,1.38E+00,4.90E+01,1.66E+03,3.66E+02,7.54E+02,3.29E+02,3.7829999999999998e+001 -1.2227000000000000e+002,
1.10E+05,2.73E+00,5.10E+01,2.67E+03,5.74E+02,1.26E+03,5.36E+02,3.7829999999999998e+001 -1.2227000000000000e+002,
